date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2016,0,8.1,82,6.9,7,1024.1,0
1/1/2016,1,8.2,82,6.6,9,1024.6,0
1/1/2016,2,7.9,83,7,6,1024.8,0
1/1/2016,3,6.9,85,5.8,6,1024.9,0
1/1/2016,4,6.3,91,5.2,6,1025.1,0
1/1/2016,5,5.8,92,4.6,6,1025.3,0
1/1/2016,6,5.3,93,4,6,1024.8,0
1/1/2016,7,4.7,94,4.1,4,1024.8,0
1/1/2016,8,5.1,95,4.6,4,1025,0
1/1/2016,9,5.4,94,3.8,7,1024.7,0
1/1/2016,10,5.7,94,4.2,7,1024.4,0
1/1/2016,11,5.9,93,3.9,9,1024,0
1/1/2016,12,6.2,92,4.8,7,1023.2,0
1/1/2016,13,6.8,93,3.9,15,1021.9,0
1/1/2016,14,7.4,91,5.7,9,1020.6,0
1/1/2016,15,7.5,87,5.1,13,1019.3,0
1/1/2016,16,7.8,86,5.1,15,1018,0
1/1/2016,17,7.9,86,5.9,11,1017.2,0
1/1/2016,18,7.6,86,4.4,19,1016.1,0
1/1/2016,19,7.5,81,4.3,19,1014.5,0
1/1/2016,20,7.4,83,4.9,13,1014.2,0
1/1/2016,21,7.2,88,5.4,9,1013.6,1
1/1/2016,22,6.9,91,5.1,9,1012.1,0.2
1/1/2016,23,6.9,88,5.6,7,1010.9,0
2/1/2016,0,7.1,87,4.9,11,1010.3,0
2/1/2016,1,7.4,88,5.3,11,1009.9,0.2
2/1/2016,2,7.3,88,5.1,11,1008.9,0
2/1/2016,3,7.9,88,5.5,13,1008.5,0
2/1/2016,4,8.1,89,5.8,13,1008.1,0.2
2/1/2016,5,8.4,89,5.9,15,1008.2,0
2/1/2016,6,8.6,90,6.4,13,1007.7,0
2/1/2016,7,8.6,90,7.1,9,1007.8,0
2/1/2016,8,8.7,91,6.8,11,1007.6,0
2/1/2016,9,9,88,6.9,13,1007.7,0
2/1/2016,10,9.5,82,7.5,13,1007.9,0
2/1/2016,11,10.1,78,7.5,19,1007.9,0
2/1/2016,12,10.5,73,7.7,22,1008.1,0
2/1/2016,13,10.8,71,8.1,22,1007.7,0
2/1/2016,14,10.9,70,8.5,19,1007.6,0
2/1/2016,15,10.8,70,8.1,22,1007.6,0
2/1/2016,16,10.4,73,7.9,19,1008,0
2/1/2016,17,10.1,73,7.5,19,1008.6,0
2/1/2016,18,9.1,82,6.5,17,1009,0.6
2/1/2016,19,8.7,85,6,17,1009.3,0.6
2/1/2016,20,8.8,82,6.3,15,1009.6,0.2
2/1/2016,21,9.1,77,6.5,17,1009.7,0
2/1/2016,22,9,72,6.6,15,1009.9,0
2/1/2016,23,8.4,73,6.1,13,1010.2,0
3/1/2016,0,7.8,76,5.1,15,1010.3,0
3/1/2016,1,7.5,76,5.1,13,1010.6,0
3/1/2016,2,7.5,75,5.8,9,1010.5,0
3/1/2016,3,7.1,75,4.9,11,1010.7,0
3/1/2016,4,6.9,77,4,15,1010.4,0
3/1/2016,5,7,77,4.1,15,1009.9,0
3/1/2016,6,6.5,81,3.8,13,1008.9,0
3/1/2016,7,6.2,85,3.5,13,1008.6,0
3/1/2016,8,6,87,3.6,11,1007.7,0
3/1/2016,9,6.1,88,3,15,1006.6,0
3/1/2016,10,6.5,88,4.2,11,1005.7,0
3/1/2016,11,6.9,90,3.5,19,1004.3,0
3/1/2016,12,7.4,89,4.1,19,1002.6,0
3/1/2016,13,7.8,87,4.3,22,1000.4,0.2
3/1/2016,14,8.1,85,4.7,22,998.5,0.2
3/1/2016,15,7.7,87,4.2,22,997.1,1
3/1/2016,16,7.4,90,3.8,22,995.3,2
3/1/2016,17,7.2,91,3.4,24,993.2,3
3/1/2016,18,7.2,92,3.6,22,992.3,2
3/1/2016,19,7.2,92,4.4,15,991.3,0.4
3/1/2016,20,7.6,92,4.9,15,990.4,0.2
3/1/2016,21,8.1,91,5.8,13,989.9,0
