date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2007,0,14.0,86,11.6,30,1019.1,0
1/1/2007,1,14.2,84,12.4,22,1019.1,0
1/1/2007,2,14.1,83,12,26,1018.8,0
1/1/2007,3,13.9,81,12.2,19,1019.3,0
1/1/2007,4,13,57,10.6,26,1019.9,0
1/1/2007,5,11.9,68,9.5,22,1019.9,0
1/1/2007,6,11.6,72,9.1,22,1019.7,0
1/1/2007,7,11.0,71,8,26,1020.1,0
1/1/2007,8,10.6,68,7.8,22,1020.5,0
1/1/2007,9,10.6,67,7.5,26,1021.3,0
1/1/2007,10,9.9,60,6.3,30,1022,0
1/1/2007,11,9.8,60,7.1,19,1023.6,0
1/1/2007,12,9.8,57,7.2,18,1024.3,0
1/1/2007,13,10.3,56,7.5,22,1024.3,0
1/1/2007,14,10.8,53,8.8,15,1023.5,0
1/1/2007,15,10.5,55,9,11,1023.4,0
1/1/2007,16,10.0,62,7.8,15,1022.9,0
1/1/2007,17,9.1,67,6.7,15,1022.0,0
1/1/2007,18,8.6,70,7.5,7,1020.5,0
1/1/2007,19,8.3,76,6.3,11,1019.1,0
1/1/2007,20,7.3,85,4,19,1018.4,2
1/1/2007,21,6.3,85,2.8,19,1017.1,1
1/1/2007,22,6.4,89,2.5,22,1016.4,0.2
1/1/2007,23,6.9,84,2.8,26,1017.3,0.6
2/1/2007,0,7.6,76,4.5,18,1018.9,0
2/1/2007,1,7.8,68,4.3,22,1020.7,0
2/1/2007,2,7.5,65,3.9,22,1022.3,0
2/1/2007,3,6.8,71,3.9,15,1023.8,0
2/1/2007,4,6.3,75,2.8,19,1025.2,0
2/1/2007,5,5.9,77,2.3,19,1025.8,0
2/1/2007,6,5.8,75,3.4,11,1026.1,0
2/1/2007,7,6.0,72,3.6,11,1026.2,0
2/1/2007,8,5.8,75,2.3,18,1026.7,0
2/1/2007,9,5.7,78,2.6,15,1027.1,0
2/1/2007,10,5.9,76,2.8,15,1027.2,0
2/1/2007,11,6.8,72,3.9,15,1027.3,0
2/1/2007,12,7.2,74,3.9,19,1027.4,0
2/1/2007,13,6.5,84,3.5,15,1027.1,0.8
2/1/2007,14,7.1,82,4.3,15,1026.6,0.2
2/1/2007,15,8.1,75,5,19,1026.8,0
2/1/2007,16,8.4,75,5.4,19,1027.5,0.2
2/1/2007,17,8.1,77,6.7,8,1028.3,0
2/1/2007,18,8,73,6,11,1028.9,0
2/1/2007,19,8.1,74,5.5,15,1029.7,0
2/1/2007,20,8.2,73,5.6,15,1030.3,0
2/1/2007,21,8.2,73,5.6,15,1030.8,0
2/1/2007,22,8.3,71,6.3,11,1031.6,0
2/1/2007,23,8.2,73,7.1,7,1032.3,0
3/1/2007,0,7.7,76,5.6,11,1032.9,0
3/1/2007,1,8.0,74,6.6,8,1032.9,0
3/1/2007,2,7.8,76,5.7,11,1033.5,0
3/1/2007,3,7,80,4.8,11,1034,0
3/1/2007,4,6.2,83,3.8,11,1034.4,0
3/1/2007,5,5.8,84,4,8,1033.9,0
3/1/2007,6,5.8,84,4,8,1034.0,0
3/1/2007,7,5.8,84,4,8,1033.9,0
3/1/2007,8,5.8,84,4.3,7,1033.7,0
3/1/2007,9,5.5,84,3.9,7,1033.7,0
3/1/2007,10,5.6,84,4.1,7,1033.6,0
3/1/2007,11,6.3,82,4,11,1033.1,0
3/1/2007,12,7,82,4.8,11,1032.8,0
3/1/2007,13,8.1,81,6.1,11,1032.0,0
3/1/2007,14,7.8,83,5.1,15,1030.9,0
3/1/2007,15,7.6,84,5.5,11,1030.1,0
3/1/2007,16,7.8,84,4.6,19,1029,0
3/1/2007,17,8,84,5.4,15,1028.4,0
3/1/2007,18,8.1,84,6.1,11,1027.5,0
3/1/2007,19,7.5,84,4.8,15,1026.7,0
3/1/2007,20,7.6,84,5.5,11,1025.7,0
3/1/2007,21,7.9,83,4.8,19,1024.2,0
3/1/2007,22,8.1,82,5.5,15,1023.6,0
3/1/2007,23,8.1,82,5.5,15,1022.3,0
4/1/2007,0,8.2,83,6.2,11,1021.6,0
4/1/2007,1,8.0,84,5,18,1020.4,0
4/1/2007,2,7.8,85,5.7,11,1019.0,0
4/1/2007,3,7.7,89,4.2,22,1018.2,0.2
4/1/2007,4,7.6,91,4.4,19,1017.2,0.8
4/1/2007,5,8,90,4.9,19,1016.8,0
4/1/2007,6,8.3,90,5.7,15,1016.3,0
4/1/2007,7,8.3,92,6.3,11,1015.3,0
4/1/2007,8,9.3,90,7,15,1015.3,0
4/1/2007,9,9.8,89,7.6,15,1016.3,1
4/1/2007,10,9.6,82,7.3,15,1016.6,0.6
4/1/2007,11,10.2,77,8.1,15,1017.3,0
4/1/2007,12,10.9,73,8.5,19,1017.3,0
4/1/2007,13,11.0,70,8.7,18,1017.4,0
4/1/2007,14,11.3,67,8.7,22,1017.5,0
4/1/2007,15,10.7,71,8.7,15,1017.9,0
4/1/2007,16,10.7,67,8.7,15,1018.4,0
4/1/2007,17,10.3,70,8.7,11,1019.1,0
4/1/2007,18,10.4,64,8.8,11,1019.8,0
4/1/2007,19,10.2,63,8.1,15,1020.4,0
4/1/2007,20,10,66,7.8,15,1021,0
4/1/2007,21,9.9,69,7.7,15,1021.8,0
4/1/2007,22,9.7,70,8,11,1021.8,0
4/1/2007,23,9.9,69,7.7,15,1022.7,0
5/1/2007,0,9.8,69,8.1,11,1022.9,0
5/1/2007,1,9.7,74,7.1,18,1023.2,0
5/1/2007,2,9.3,78,7.5,11,1023.1,0
5/1/2007,3,9.4,78,7.7,11,1023.4,0
5/1/2007,4,9.1,80,8.1,7,1024.1,0
5/1/2007,5,9.0,82,7.8,8,1024.1,0
5/1/2007,6,9.0,83,7.8,8,1024.2,0
5/1/2007,7,9.0,86,7.8,8,1024.0,0
5/1/2007,8,9.0,85,7.2,11,1024.0,0
5/1/2007,9,9.1,84,7.3,11,1024.2,0
5/1/2007,10,9.4,82,7.7,11,1024.2,0
5/1/2007,11,9.7,78,8,11,1024.8,0
5/1/2007,12,10.3,78,8.7,11,1024.6,0
5/1/2007,13,10.8,76,9.3,11,1023.9,0
5/1/2007,14,10.8,79,8.8,15,1023.4,0
5/1/2007,15,11.3,76,9.4,15,1023.6,0
5/1/2007,16,11.3,75,9.9,11,1023.7,0
5/1/2007,17,10.8,82,9.3,11,1023.8,0
5/1/2007,18,10.2,89,8.6,11,1023.8,0
5/1/2007,19,10.5,88,9,11,1023.8,0
5/1/2007,20,11,84,9,15,1023.4,0
5/1/2007,21,11.2,84,9.3,15,1023.3,0
5/1/2007,22,11.3,85,9.9,11,1023.4,0
5/1/2007,23,11.5,86,9.6,15,1023.4,0
6/1/2007,0,11.6,86,10.3,11,1023.5,0
6/1/2007,1,11.7,88,10.4,11,1023.1,0
6/1/2007,2,11.3,92,9.9,11,1022.7,0.2
6/1/2007,3,11.7,91,9.9,15,1022.7,0
6/1/2007,4,11.6,92,10.3,11,1022.3,0.2
6/1/2007,5,11.7,93,9.5,19,1021.9,0.6
6/1/2007,6,11.8,92,10,15,1021.7,0
6/1/2007,7,11.8,93,10,15,1021.4,0.4
6/1/2007,8,12.0,91,10,18,1021.2,0
6/1/2007,9,11.7,91,9.6,18,1021.2,0
6/1/2007,10,12,90,10.3,15,1021.3,0
6/1/2007,11,12,90,10.8,11,1020.9,0
6/1/2007,12,12.3,87,10.6,15,1020.1,0
6/1/2007,13,12.3,84,10.3,18,1019.5,0
6/1/2007,14,12.6,82,10.4,22,1018.4,0
6/1/2007,15,12.8,79,10.6,22,1017.7,0
6/1/2007,16,12.4,85,10.1,22,1017.2,0
6/1/2007,17,12.3,87,10.6,15,1016.8,0
6/1/2007,18,12.1,92,10.9,11,1016.6,0.6
6/1/2007,19,12.3,87,10.6,15,1016.9,0
6/1/2007,20,12.3,82,10.6,15,1017.0,0
6/1/2007,21,11.6,70,8.5,30,1018.4,0.2
6/1/2007,22,10.1,72,7.5,19,1019.5,0
6/1/2007,23,9.6,72,7.9,11,1020.4,0
7/1/2007,0,9.5,74,8.3,8,1021.1,0
7/1/2007,1,8.8,79,6.3,15,1021.4,0
7/1/2007,2,8.3,84,5.4,18,1021.6,0
7/1/2007,3,8.4,82,7.3,7,1022.1,0
7/1/2007,4,7.7,86,6.5,7,1022.6,0
7/1/2007,5,7.3,87,5.1,11,1022.6,0
7/1/2007,6,N/A,N/A,N/A,N/A,N/A
7/1/2007,7,N/A,N/A,N/A,N/A,N/A
7/1/2007,8,6.0,91,3.6,11,1022.5,0
7/1/2007,9,5.5,93,2.3,15,1022.7,0
7/1/2007,10,6.4,93,3.4,15,1022.7,0
7/1/2007,11,7.2,88,4,18,1022.6,0
7/1/2007,12,8.3,84,6.3,11,1022.1,0
7/1/2007,13,9.2,77,6.8,15,1021.0,0
7/1/2007,14,10.1,73,7.9,15,1019.8,0
7/1/2007,15,10.3,75,8.2,15,1019.2,0
7/1/2007,16,10.5,75,9,11,1018.5,0
7/1/2007,17,9.8,79,7.6,15,1017.7,0
7/1/2007,18,9.6,78,7.3,15,1017.3,0
7/1/2007,19,9.3,79,7.5,11,1016.7,0
7/1/2007,20,9.4,78,7.1,15,1015.6,0
7/1/2007,21,9.3,79,7,15,1014.6,0
7/1/2007,22,9.4,82,6.6,19,1013.5,0
7/1/2007,23,10.1,84,7.9,15,1012.6,0
8/1/2007,0,10.1,84,7.9,15,1011.8,0
8/1/2007,1,10.5,83,7.7,22,1010.6,0
8/1/2007,2,10.6,82,8.2,18,1009.5,0
8/1/2007,3,10.6,82,7.8,22,1008.6,0
8/1/2007,4,10.4,86,7.6,22,1007.6,0
8/1/2007,5,10.8,83,8.1,22,1006.8,0
8/1/2007,6,10.8,85,8.1,22,1006.2,0
8/1/2007,7,10.5,89,8.1,18,1006.4,0.2
8/1/2007,8,10.7,89,8.7,15,1007.1,0.2
8/1/2007,9,11.1,80,9.2,15,1008.4,0
8/1/2007,10,11.1,76,8.7,19,1009.9,0
8/1/2007,11,11.3,73,9.1,18,1010.5,0
8/1/2007,12,11.3,72,9.4,15,1010.8,0
8/1/2007,13,11.6,75,9.5,18,1010.7,0
8/1/2007,14,11.3,75,9.4,15,1009.8,0
8/1/2007,15,11.3,75,9.1,18,1009.1,0
8/1/2007,16,11,82,8.6,19,1008.5,0
8/1/2007,17,10.3,90,7.8,18,1008.1,0.2
8/1/2007,18,10.5,92,7.7,22,1007.8,0.2
8/1/2007,19,11.2,91,9,18,1008.0,0.2
8/1/2007,20,11.6,92,9.8,15,1008.5,0
8/1/2007,21,12.3,90,10.3,18,1008.5,0
8/1/2007,22,12.8,89,11.2,15,1009.6,0
8/1/2007,23,13.2,88,12.2,11,1010.1,0
9/1/2007,0,13.5,86,12.6,11,1010.9,0
9/1/2007,1,13.3,88,12.3,11,1011.5,0
9/1/2007,2,13.3,88,12.3,11,1011.7,0
9/1/2007,3,13.6,84,12.7,11,1012.1,0
9/1/2007,4,13.6,82,12.7,11,1012.4,0
9/1/2007,5,13.5,84,12.1,15,1012.9,0
9/1/2007,6,12.8,89,11.2,15,1013.3,0
9/1/2007,7,13.1,87,11.6,15,1013.8,0
9/1/2007,8,12.8,89,11.7,11,1014.4,0
9/1/2007,9,12.6,90,11,15,1014.9,0.2
9/1/2007,10,12.5,90,10.9,15,1015.8,0.2
9/1/2007,11,12.7,88,11.1,15,1016.5,0.2
9/1/2007,12,13.3,83,11.8,15,1017.0,0
9/1/2007,13,13.6,79,11.9,18,1016.6,0
9/1/2007,14,14.2,72,12.7,18,1016.6,0
9/1/2007,15,14,73,12.4,19,1016.8,0
9/1/2007,16,14.2,64,13,15,1017,0
